Movie,Years,Duration,Genre,Rating,Unnamed: 5,Actor_1,Actor_2,Actor_3,Actor_4
AK 47,2004,125 min,"Action, Thriller",5,39,Raam Shetty,Aditya,Sheetal Bavishi,Om Puri
Asambhav,2004,139 min,"Action, Adventure, Drama",3.4,577,Rajiv Rai,Arjun Rampal,Naseeruddin Shah,Priyanka Chopra Jonas
Bardaasht,2004,155 min,"Action, Drama, Thriller",5.9,661,Eeshwar Nivas,Bobby Deol,Lara Dutta,Rahul Dev
Birsa Munda - The black Iron Man,2004,120 min,History,9.7,,Rajesh Mittal,Biswajit Chatterjee,Ali Khan,Anil Nagrath
Black Friday,2004,143 min,"Action, Crime, Drama",8.5,"19,493",Anurag Kashyap,Kay Kay Menon,Pawan Malhotra,Aditya Srivastav
Bride & Prejudice,2004,122 min,"Comedy, Drama, Musical",6.2,"20,125",Gurinder Chadha,Martin Henderson,Aishwarya Rai Bachchan,Nadira Babbar
Chai Pani Etc.,2004,92 min,Comedy,4.7,24,Manu Rewal,Konkona Sen Sharma,Zafar Karachiwala,Gaurav Kapoor
Charas: A Joint Effort,2004,140 min,"Action, Crime, Thriller",5.3,336,Tigmanshu Dhulia,Jimmy Sheirgill,Uday Chopra,Irrfan Khan
Cheekh,2004,85 min,Horror,1.6,,Kanti Shah,Sapna Sappu,Vinod Tripathi,Shyam Bahadur
Chota Sipahi,2004,90 min,Family,7.1,10,Jayashree Kanal,,,
Dev,2004,172 min,Drama,6.9,"1,332",Govind Nihalani,Amitabh Bachchan,Om Puri,Fardeen Khan
Devi Putrudu,2004,161 min,"Action, Drama, Fantasy",5.8,260,Kodi Ramakrishna,Venkatesh Daggubati,Anjala Zaveri,Soundarya
Dhoom,2004,129 min,"Action, Crime, Drama",6.7,"18,768",Sanjay Gadhvi,Abhishek Bachchan,John Abraham,Uday Chopra
Dil Maange More!!!,2004,123 min,"Musical, Romance",5.2,"1,808",Ananth Narayan Mahadevan,Shahid Kapoor,Ayesha Takia,Tulip Joshi
Dil Ne Jise Apna Kaha,2004,135 min,"Drama, Romance",4.4,"1,716",Atul Agnihotri,Salman Khan,Preity Zinta,Bhoomika Chawla
Dobara,2004,135 min,"Musical, Drama",3.2,129,Shashi Ranjan,Jackie Shroff,Raveena Tandon,Mahima Chaudhry
Ek Hasina Thi,2004,120 min,"Crime, Drama, Mystery",7.5,"6,992",Sriram Raghavan,Saif Ali Khan,Urmila Matondkar,Seema Biswas
Ek Na Mard,2004,79 min,Thriller,8.9,,Kanti Shah,Anil Nagrath,Amit Pachori,Sapna Sappu
Ek Se Badhkar Ek,2004,146 min,"Comedy, Thriller",4.4,155,Kundan Shah,Sunil Shetty,Raveena Tandon,Shekhar Suman
Fida,2004,122 min,"Action, Crime, Drama",5.5,"2,470",Ken Ghosh,Kareena Kapoor,Fardeen Khan,Shahid Kapoor
Final Solution,2004,218 min,Documentary,8.5,369,Rakesh Sharma,,,
Gajendra,2004,145 min,Action,3.5,77,Suresh Krishna,Sarath Babu,Rajat Bedi,Flora
Gambeeram,2004,165 min,"Action, Comedy, Crime",4.5,62,Suresh,Tanikella Bharani,Brahmanandam,Jasper
Ganga Jaisan Mai Hamar,2004,147 min,Drama,5.7,,Mohanji Prasad,Chandni,Diveyaa Dwivedi,Ravi Kishan
Garam Dukaan,2004,142 min,Thriller,6,12,Chandni Gupta,Afsan,Shah Gayaz Khan,
Gayab,2004,138 min,"Drama, Fantasy, Thriller",4.2,781,Prawaal Raman,Tusshar Kapoor,Antara Mali,Raghuvir Yadav
Ghar Grihasti,2004,142 min,"Drama, Family",4,130,Mahesh Tillekar,Aishwarya Narkar,Sulabha Arya,Sajid Sheikh
Girlfriend,2004,126 min,Drama,3.2,344,Karan Razdan,Isha Koppikar,Aashish Chaudhary,Amrita Arora
Golden Bar,2004,112 min,Action,6.8,,Ravi Kumar,Hemant Birje,Ali Khan,Umesh Kori
Hanan,2004,127 min,"Musical, Action, Drama",6,44,Makrand Deshpande,Manoj Bajpayee,Sonali Kulkarni,Seema Biswas
Hari Om,2004,108 min,"Romance, Comedy",6.2,111,Ganapathy Bharat,A.K. Hangal,Jean-Marie Lamour,Camille Natta
Hatya: The Murder,2004,131 min,"Action, Crime, Drama",4.1,492,Kader Kashmiri,Akshay Kumar,Varsha Usgaonkar,Navin Nischol
Hava Aney Dey,2004,93 min,Drama,6.2,101,Partho Sen-Gupta,Aniket Vishwasrao,Nishikant Kamat,Tannishtha Chatterjee
Hawas,2004,123 min,"Drama, Romance, Thriller",2.7,202,Karan Razdan,Shawar Ali,Meghna Naidu,Tarun Arora
Highway Courtesans,2004,71 min,Documentary,7.3,30,Mystelle Brabbee,,,
Ho Sakta Hai!,2004,101 min,"Crime, Horror, Thriller",6.1,45,Wilson Louis,Victor Banerjee,Krishna Bhatt,Mahesh Bhatt
Hottestmail.com,2004,104 min,Thriller,7.6,,Sikander Bhatia,Reshmi Ghosh,Vishesh Khanna,
Hulchul,2004,149 min,"Action, Comedy, Drama",7,"7,251",Priyadarshan,Akshaye Khanna,Kareena Kapoor,Amrish Puri
Hum Kaun Hai?,2004,119 min,"Horror, Drama, Mystery",3.6,322,Ravi Sharma Shankar,Amitabh Bachchan,Dimple Kapadia,Dharmendra
Hum Tum,2004,143 min,"Comedy, Drama, Romance",7,"13,486",Kunal Kohli,Saif Ali Khan,Rani Mukerji,Kirron Kher
I - Proud to be an Indian,2004,129 min,"Action, Crime, Drama",6.1,526,Puneet Sira,Sohail Khan,Tim Lawrence,Mona Ambegaonkar
Insaaf: The Justice,2004,136 min,"Action, Drama",3.9,92,Shrey Srivastava,Dino Morea,Namrata Shirodkar,Sanjay Suri
Inspector Kiran,2004,118 min,"Action, Crime, Drama",8.5,,Yash,Milind Gunaji,Nirmal Pandey,Neena Kulkarni
Inteqam: The Perfect Game,2004,127 min,"Action, Thriller",5,85,Pankaj Parashar,Manoj Bajpayee,Isha Koppikar,Nethra Raghuraman
Ishq Hai Tumse,2004,148 min,Romance,3.1,151,G. Krishna,Dino Morea,Bipasha Basu,Beena Banerjee
Jaago,2004,122 min,"Crime, Drama, Thriller",6.5,154,Mehul Kumar,Sanjay Kapoor,Raveena Tandon,Manoj Bajpayee
Journeyings and Conversations,2004,88 min,Documentary,7.4,13,Arvind Sinha,,,
Julie,2004,144 min,"Drama, Romance",4,404,Deepak S. Shivdasani,Neha Dhupia,Priyanshu Chatterjee,Yash Tonk
Jungle Ka Sher,2004,105 min,"Action, Fantasy",8.9,,Kanti Shah,Amit Pachori,Sapna Sappu,Anil Nagrath
Kaam Jwala: The Fire,2004,73 min,Drama,2.7,9,Kanti Shah,Amit Pachori,Sapna Sappu,Junior Jagdeep
Kaam Milan,2004,87 min,"Drama, Thriller",2.0,,Chandni Gupta,Amit Pachori,Sapna Sappu,Ragesh Asthana
Kachhi Kali,2004,86 min,Drama,7.1,,Kanti Shah,Sapna Sappu,Junior Amitabh Bachchan,Vinod Tripathi
Karamveer,2004,165 min,Action,8.3,,Dinesh Chaudhary,Uttar Kumar,Suman Negi,Dev Sharma
Kaun Hai Jo Sapno Mein Aaya,2004,127 min,Musical,5.1,46,Rajesh Bhatt,Richa Pallod,Anupam Kher,Kader Khan
Kaya Taran,2004,107 min,Drama,1.9,,Sashi Kumar,Seema Biswas,Angad Bedi,Neelambari Bhattacharya
Khakee,2004,174 min,"Action, Crime, Drama",7.4,"15,192",Rajkumar Santoshi,Amitabh Bachchan,Akshay Kumar,Ajay Devgn
Khalnayak,2004,74 min,Action,6.3,12,Kishan Shah,Satnam Kaur,Kashish Khurana,Karishma
Kis Kis Ki Kismat,2004,142 min,"Comedy, Drama, Romance",2.5,140,Govind Menon,Mallika Sherawat,Rati Agnihotri,Kurush Deboo
Kismat,2004,143 min,"Action, Drama",3.7,451,Guddu Dhanoa,Bobby Deol,Priyanka Chopra Jonas,Kabir Bedi
Kiss Kis Ko,2004,119 min,Musical,4.6,20,Sharad Sharan,Chaitanya Bhosle,Sherrin Varghese,Bhumika Puri
Krishna Cottage,2004,124 min,"Horror, Mystery",5.2,"1,028",Santram Varma,Sohail Khan,Isha Koppikar,Anita Hassanandani Reddy
Kyun! Ho Gaya Na...,2004,165 min,"Comedy, Drama, Romance",4.2,"1,724",Samir Karnik,Amitabh Bachchan,Vivek Oberoi,Aishwarya Rai Bachchan
Lakeer - Forbidden Lines,2004,170 min,"Action, Romance",4.4,932,Ahmed Khan,Sunny Deol,Sunil Shetty,Sohail Khan
Lakshya,2004,186 min,"Action, Drama, Romance",7.9,"21,444",Farhan Akhtar,Hrithik Roshan,Preity Zinta,Amitabh Bachchan
Let's Bring Our Heroes Home,2004,163 min,"Action, Drama, Thriller",6.1,"1,404",Milan Luthria,Amitabh Bachchan,Sanjay Dutt,Akshaye Khanna
Let's Enjoy,2004,108 min,Comedy,6.3,116,Siddharth Anand Kumar,Ankur Tewari,Aashish Chaudhary,Roshni Chopra
Lou (Ek Ehsaas),2004,115 min,Drama,1.0,,K. Bhushan,Prithvi,Bhavna Rathod,Monica
Love in Nepal,2004,143 min,"Drama, Mystery, Romance",3.6,120,Rajat Mukherjee,Sonu Nigam,Flora Saini,Jharana Bajracharya
Madhoshi,2004,122 min,"Musical, Mystery, Drama",4.6,395,Tanveer Khan,Bipasha Basu,John Abraham,Priyanshu Chatterjee
Madurey,2004,145 min,Action,5.1,"1,909",R. Madhesh,Joseph Vijay,Sonia Agarwal,Rakshitha
Main Hoon Malikka,2004,107 min,Thriller,8.5,,Chandrakanth,Sadhya Rani,,
Main Hoon Na,2004,179 min,"Action, Comedy, Drama",7,"33,177",Farah Khan,Shah Rukh Khan,Sushmita Sen,Sunil Shetty
Man on Mission Fauladi,2004,158 min,Action,4.8,126,Mohan Babu,Nataneya Singh,Soundarya,
Manasarovar,2004,90 min,Drama,6.9,80,Anup Kurian,Atul Kulkarni,Neha Dubey,Zafar Karachiwala
Masti,2004,166 min,"Comedy, Crime, Mystery",6.2,"6,068",Indra Kumar,Aftab Shivdasani,Vivek Oberoi,Riteish Deshmukh
Meri Biwi Ka Jawab Nahin,2004,150 min,"Action, Comedy, Romance",3.9,683,Pankaj Parashar,S.M. Iqbal,Akshay Kumar,Sridevi
Mhara Gaon Mhara Desh,2004,72 min,Drama,7.4,,HansRaj Ralhan,Santram Banjara,Uttar Kumar,Dev Sharma
Mirchi: It's Hot,2004,107 min,Crime,3.9,22,Dinesh D. Awasthi,Bobby Khan,Nilofer Khan,Sambhavna Sheth
Mission Mumbai,2004,117 min,Action,3.8,25,Rajiv S. Ruia,Sonu Sood,Nawab Shah,Ashutosh Rana
Mitti Aur Chand,2004,61 min,Drama,1.3,,Abhishek Gosh,Navin Kankate,Rajit Kapoor,Ananya Khare
Morning Raga,2004,110 min,"Drama, Music",6.7,296,Mahesh Dattani,Shabana Azmi,Prakash Kovelamudi,Lillete Dubey
Mr Lonely Miss Lovely,2004,95 min,Comedy,5.3,6,Aditya Om,Rajendra Gupta,Aditya Om,Nandana Sen
Mujhse Shaadi Karogi,2004,163 min,"Comedy, Romance",6.7,"14,312",David Dhawan,Salman Khan,Akshay Kumar,Priyanka Chopra Jonas
Murder,2004,130 min,"Drama, Romance, Thriller",5.4,"3,763",Anurag Basu,Mallika Sherawat,Ashmit Patel,Emraan Hashmi
Musafir,2004,151 min,"Action, Crime, Drama",5.5,"1,732",Sanjay Gupta,Anil Kapoor,Sameera Reddy,Aditya Pancholi
Muskaan,2004,127 min,"Mystery, Romance",4.4,193,Rohit Manash,Rohit Krishnakant Nayyar,Manish Robin,Manish Sharma
Naach,2004,150 min,"Drama, Musical, Romance",4.2,580,Ram Gopal Varma,Abhishek Bachchan,Antara Mali,Riteish Deshmukh
One Dollar Curry,2004,89 min,Comedy,5.6,39,Vijay Singh,Vikram Chatwal,Gabriella Wright,Smriti Mishra
Paisa Vasool,2004,139 min,"Action, Comedy, Crime",4.1,142,Srinivas Bhashyam,Manisha Koirala,Sushmita Sen,Sushant Singh
Patli Kamar Lambe Baal,2004,83 min,Drama,4.3,7,Chandni Gupta,Amit Pachori,Dimple,Pushpendra
Phir Milenge,2004,142 min,Drama,6.1,"1,983",Revathi,Salman Khan,Abhishek Bachchan,Shilpa Shetty Kundra
Plan,2004,149 min,"Action, Comedy, Crime",4.1,842,Hriday Shetty,Sanjay Dutt,Priyanka Chopra Jonas,Dino Morea
Police Force: An Inside Story,2004,138 min,"Action, Crime, Drama",4.5,738,Dilip Shukla,Akshay Kumar,Raveena Tandon,Amrish Puri
Poochho Mere Dil Se,2004,132 min,"Action, Drama",4.6,10,Kumar Pradeep,Alka Anjali,Ashok Barot,Diya Chakraborty
Popcorn Khao! Mast Ho Jao,2004,138 min,"Comedy, Drama, Romance",4,85,Kabir Sadanand,Akshay Kapoor,Tanishaa Mukerji,Yash Tonk
Prarambh,2004,83 min,Drama,6.8,21,Kumar Dave,Mukesh S. Bhatt,Singh Bhupesh,Shama Deshpande
Pride and Honour,2004,162 min,"Action, Crime, Drama",5.5,"3,711",Puneet Issar,Salman Khan,Shilpa Shetty Kundra,Arbaaz Khan
Pyaasi Nagin,2004,84 min,Horror,1.1,,Kishan Shah,Karishma,Riya,Vinod Tripathi
Raincoat,2004,117 min,"Drama, Romance",7.6,"4,170",Rituparno Ghosh,Ajay Devgn,Aishwarya Rai Bachchan,Annu Kapoor
Rakht,2004,162 min,"Horror, Thriller",3.7,608,Mahesh Manjrekar,Sanjay Dutt,Sunil Shetty,Bipasha Basu
Raton Ki Rani (The Night Queen),2004,116 min,Horror,3.5,6,Kanti Shah,Sapna Sappu,Vinod Tripathi,Amit Pachori
Rudraksh,2004,143 min,"Action, Fantasy, Sci-Fi",2.7,"1,157",Mani Shankar,Sanjay Dutt,Bipasha Basu,Sunil Shetty
Run,2004,137 min,"Action, Comedy, Drama",4.8,"1,292",Jeeva,Abhishek Bachchan,Bhoomika Chawla,Mahesh Manjrekar
Sau Jhooth Ek Sach,2004,110 min,"Drama, Thriller",7.2,70,Bappaditya Roy,Mammootty,Lillete Dubey,Joy Sengupta
Shart: The Challenge,2004,136 min,"Drama, Romance",3.5,152,Puri Jagannadh,Tusshar Kapoor,Gracy Singh,Amrita Arora
Shobhayatra,2004,100 min,"Comedy, Drama",4.2,14,Vijay Ghatge,Divya Dutta,Prithvi Sankhala,Vineet Kumar
Shola: Fire of Love,2004,111 min,"Action, Crime, Drama",6.6,,Viji P. Nair,Tinnu Anand,Rajeev Awasthi,Mohnish Bahl
Shukriya: Till Death Do Us Apart,2004,144 min,"Musical, Drama, Family",5.1,148,Anupam Sinha,Anupam Kher,Aftab Shivdasani,Shriya Saran
Silence Please... The Dressing Room,2004,100 min,Thriller,2.9,13,Sanjay Srinivas,Tom Alter,Salil Ankola,Sonali Kulkarni
Sri Anjaneyam,2004,174 min,"Action, Fantasy",4.6,203,Krishna Vamsi,Nithiin,Ananth,Jogi Brothers
Sullan,2004,138 min,"Action, Crime, Drama",3.2,359,Ramana,Dhanush,Manivannan,Pasupathy
Suno Sasurjee,2004,169 min,"Action, Comedy, Musical",2.5,147,Vimal Kumar,Aftab Shivdasani,Ameesha Patel,Gulshan Grover
Swades,2004,189 min,Drama,8.2,"85,340",Ashutosh Gowariker,Shah Rukh Khan,Gayatri Joshi,Kishori Ballal
Taarzan: The Wonder Car,2004,163 min,"Action, Fantasy, Thriller",4.5,"2,781",Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Vatsal Sheth,Ayesha Takia
Tauba Tauba,2004,121 min,"Comedy, Drama",2.6,93,T.L.V. Prasad,Laxmikant Berde,Bobby Darling,Amin Gazi
Thokar,2004,142 min,"Action, Drama",7.5,15,,,,
Tora,2004,63 min,Family,1.6,,Jahnu Barua,Mrigakshi,Anup Hazarika,Indrani Chetra
Tum: A Dangerous Obsession,2004,150 min,"Drama, Romance, Thriller",2.4,182,Aruna Raje,Manisha Koirala,Karann Nathh,Rajat Kapoor
Tumsa Nahin Dekha,2004,128 min,"Musical, Romance",4.5,717,Anurag Basu,Emraan Hashmi,Dia Mirza,Anupam Kher
Uuf Kya Jaadoo Mohabbat Hai...,2004,134 min,"Comedy, Romance",4.8,42,Manoj J. Bhatia,Akshay Anand,Nitin Arora,Sammir Dattani
Vaastu Shastra,2004,106 min,"Horror, Mystery",5,639,Saurab Narang,Vicky Ahuja,J.D. Chakravarthi,Ahsaas Channa
Veer-Zaara,2004,192 min,"Drama, Family, Musical",7.8,"50,101",Yash Chopra,Shah Rukh Khan,Preity Zinta,Rani Mukerji
White Rainbow,2004,94 min,Drama,6.8,107,Dharan Mandrayar,Sonali Kulkarni,Amardeep Jha,Amruta Subhash
Wife Hai Toh Life Hai,2004,123 min,"Comedy, Family, Romance",2.9,,Jainendra Baxi,Manish Srivastav,Bharat,Shruti Sharma
Woh Tera Naam Tha,2004,150 min,Romance,6.4,32,Kuku Kohli,Arjan Bajwa,Rajat Bedi,Gaurav Chanana
Wrong Mauritius,2004,76 min,Family,5.0,,Raghuvir Kulkarni,Anand Abhyankar,Deepak Bhoite,Nachiket Dighe
Yeh Lamhe Judaai Ke,2004,135 min,"Drama, Mystery, Romance",3.7,"1,636",Pavan Kaul,Birendra Nath Tiwari,Shah Rukh Khan,Raveena Tandon
Yuva,2004,161 min,"Action, Drama, Thriller",7.4,"8,588",Mani Ratnam,Ajay Devgn,Abhishek Bachchan,Rani Mukerji
2-Oct,2003,122 min,"Action, Crime, Thriller",5,33,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika
3 Deewarein,2003,115 min,"Crime, Drama",7.8,"2,322",Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla
88 Antop Hill,2003,119 min,"Mystery, Thriller",4.7,66,Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai
Aaj Ka Andha Kanoon,2003,46 min,Action,3.1,15,Amit Chandra Sahay,Sudesh Berry,Priyanka Upendra,Aman Jalali
Aanch,2003,160 min,Drama,5.6,102,Rajesh Ram Singh,Arun Bakshi,Suchindra Bali,Poonam Jhawer
Aapko Pehle Bhi Kahin Dekha Hai,2003,145 min,"Action, Comedy, Drama",4.5,273,Anubhav Sinha,Priyanshu Chatterjee,Sakshi Shivanand,Farida Jalal
Andaaz,2003,145 min,"Drama, Musical, Romance",5.3,"2,359",Raj Kanwar,Akshay Kumar,Lara Dutta,Priyanka Chopra Jonas
Anjaneya,2003,168 min,"Action, Crime, Drama",3.4,363,N. Maharajan,Ajith Kumar,Meera Jasmine,Raghuvaran
Anokha Anubhav,2003,105 min,Thriller,5.4,,Divyaa Dwivedi,Juhi Javed,Mohan Joshi,Razak Khan
Anubhav: An Experience,2003,90 min,Crime,3.4,11,Sandeep Kumar,Afrin,Amit,Neel Arvind
Armaan,2003,158 min,"Drama, Family, Romance",5.2,"1,096",Honey Irani,Amitabh Bachchan,Anil Kapoor,Preity Zinta
Baaz: A Bird in Danger,2003,180 min,"Mystery, Thriller",3.2,344,Tinnu Verma,Jackie Shroff,Sunil Shetty,Karisma Kapoor
Bad Boys,2003,118 min,Thriller,3.3,6,Vicky S. Kumar,Rakesh Bedi,Suresh Chatwal,Avtar Gill
Baghban,2003,181 min,"Drama, Romance",7.4,"15,518",Ravi Chopra,Amitabh Bachchan,Hema Malini,Salman Khan
Bhayaanak Panjaa,2003,95 min,Horror,4.9,24,R. Mittal,Birbal,Shail Chaturvedi,Anil Dhawan
Bhoot,2003,113 min,"Horror, Mystery, Thriller",6.5,"3,476",Ram Gopal Varma,Ajay Devgn,Urmila Matondkar,Nana Patekar
Bindiya Aur Bandook Part II,2003,139 min,Action,7.2,,Joginder Shelly,Poonam Dasgupta,Dinesh Hingoo,Mohan Joshi
Boom,2003,100 min,"Crime, Thriller",2.3,"1,361",Kaizad Gustad,Amitabh Bachchan,Jackie Shroff,Gulshan Grover
Calcutta Mail,2003,128 min,"Action, Drama, Mystery",5.7,480,Sudhir Mishra,Anil Kapoor,Rani Mukerji,Manisha Koirala
Chaalbaaz,2003,117 min,Action,5.8,17,Gautam Verma,Rajat Bedi,Mithun Chakraborty,Dinesh Hingoo
Chale Chalo: The Lunacy of Film Making,2003,150 min,Documentary,8.6,336,Satyajit Bhatkal,Ashutosh Gowariker,Aamir Khan,Gracy Singh
Chalte Chalte,2003,167 min,"Drama, Romance",6.6,"14,779",Aziz Mirza,Shah Rukh Khan,Rani Mukerji,Jas Arora
Chori Chori,2003,135 min,"Comedy, Romance, Musical",4.8,837,Milan Luthria,Ajay Devgn,Sonali Bendre,Rani Mukerji
Chota Jadugar,2003,99 min,Fantasy,3.1,102,Jose Punnoose,Sooraj Balaji,S.P. Balasubrahmanyam,Julian Carey
Chupke Se,2003,164 min,"Comedy, Musical, Romance",5.4,112,Shona Urvashi,Zulfi Sayed,Masumeh Makhija,Rati Agnihotri
Chura Liyaa Hai Tumne,2003,143 min,"Action, Drama, Mystery",3.7,463,Sangeeth Sivan,Zayed Khan,Esha Deol,Gulshan Grover
Dangerous Night,2003,93 min,Horror,4.6,,Munir Khan,Sapna Sappu,Amit Pachori,Rani Sinha
Darna Mana Hai,2003,121 min,Horror,6.3,"3,207",Prawaal Raman,Saif Ali Khan,Sameera Reddy,Vivek Oberoi
Dhoop,2003,126 min,Drama,7.2,242,Ashwini Chaudhary,Om Puri,Revathi,Gul Panag
Dhund: The Fog,2003,153 min,"Adventure, Horror, Mystery",2.4,247,Shyam Ramsay,Amar Upadhyay,Aditi Govitrikar,Apoorva Agnihotri
Dil Ka Rishta,2003,150 min,"Drama, Musical, Romance",4.8,"1,615",Naresh Malhotra,Arjun Rampal,Aishwarya Rai Bachchan,Priyanshu Chatterjee
Dil Pardesi Ho Gayaa,2003,150 min,"Romance, Drama",4.8,91,Saawan Kumar Tak,Kapil Jhaveri,Saloni Aswani,Amrish Puri
Dudes in the 10th Century,2003,130 min,Comedy,4.6,850,Imtiaz Punjabi,Paresh Rawal,Iqbal Khan,Anuj Sawhney
Dum,2003,166 min,"Action, Crime, Drama",5.6,"1,597",Eeshwar Nivas,Vivek Oberoi,Dia Mirza,Atul Kulkarni
Duplicate Jaani Dushman,2003,87 min,Horror,8.6,,Jaspal Neelam,Poonam Dasgupta,Brij Gopal,Aman Sagar
Ek Alag Mausam,2003,120 min,Drama,6.7,46,K.P. Sasi,Nandita Das,Rajit Kapoor,Anupam Kher
Ek Din 24 Ghante,2003,95 min,Thriller,3.9,78,Anant Balani,Rahul Bose,Ahmed Chaudhary,Nandita Das
Ek Raaz Mere Dil Mein Hai,2003,113 min,Mystery,9.7,,Surinder,Rana Jung Bahadur,Sanjeevani Gupta,Dinesh Hingoo
Escape from Taliban,2003,133 min,"Adventure, Drama, Thriller",4.3,164,Ujjwal Chatterjee,Manisha Koirala,Nawab Shah,Vineeta Malik
Footpath,2003,164 min,"Action, Crime, Drama",5.3,824,Vikram Bhatt,Aftab Shivdasani,Bipasha Basu,Rahul Dev
Gangaajal,2003,157 min,"Action, Crime, Drama",7.8,"16,172",Prakash Jha,Ajay Devgn,Gracy Singh,Mohan Joshi
Godhra Tak: The Terror Trail,2003,60 min,Documentary,6.2,,Shubhradeep Chakravorty,,,
Gori Aur Kaali,2003,116 min,Action,5.5,,Kishan Shah,Hemant Birje,Satnam Kaur,Amit Pachori
Haasil,2003,160 min,"Crime, Drama, Romance",7.6,"2,808",Tigmanshu Dhulia,Jimmy Sheirgill,Hrishitaa Bhatt,Irrfan Khan
Hawa,2003,129 min,"Drama, Horror, Thriller",3.3,290,Guddu Dhanoa,Tabu,Shahbaaz Khan,Mukesh Tiwari
Hawa Mahal,2003,58 min,Documentary,6.5,,Vipin Vijay,,,
Hazaaron Khwaishein Aisi,2003,120 min,Drama,7.9,"4,744",Sudhir Mishra,Kay Kay Menon,Shiney Ahuja,Chitrangda Singh
Hollywood,2003,130 min,"Comedy, Sci-Fi",7,196,D. Rajendra Babu,Emma Dean,Felicity Mason,Anant Nag
Humein Tumse Pyar Ho Gaya Chupke Chupke,2003,135 min,Drama,1.7,27,Pramod Mandloi,Meghna Desai,Siddharth Dhawan,Dinesh Hingoo
Hungama,2003,153 min,"Comedy, Drama, Romance",7.5,"13,768",Priyadarshan,Akshaye Khanna,Aftab Shivdasani,Rimi Sen
In Your Name,2003,132 min,"Action, Drama, Romance",7.1,"17,628",Satish Kaushik,Salman Khan,Bhoomika Chawla,Sachin Khedekar
Inteha,2003,155 min,"Action, Drama, Thriller",5.1,153,Vikram Bhatt,Ashmit Patel,Vidya Malvade,Nauheed Cyrusi
Ishq Vishk,2003,134 min,"Comedy, Romance",6,"3,937",Ken Ghosh,Shahid Kapoor,Amrita Rao,Shenaz Treasury
It Happens That Way Too: Part II,2003,137 min,"Comedy, Crime, Drama",7.3,719,Shashanka Ghosh,Arshad Warsi,Prashant Narayanan,Sandhya Mridul
Jaal: The Trap,2003,142 min,"Action, Drama, Romance",4.1,459,Guddu Dhanoa,Sunny Deol,Tabu,Reema Sen
Jajantaram Mamantaram,2003,122 min,"Action, Adventure, Comedy",5.8,864,Soumitra Ranade,Javed Jaffrey,Gulshan Grover,Joy Fernandes
Janasheen,2003,162 min,"Musical, Action, Drama",2.9,358,Feroz Khan,Feroz Khan,Fardeen Khan,Celina Jaitly
Jhankaar Beats,2003,143 min,"Comedy, Music, Romance",7.2,"1,976",Sujoy Ghosh,Sanjay Suri,Rahul Bose,Juhi Chawla
Jism,2003,136 min,"Drama, Romance, Thriller",5.2,"2,061",Amit Saxena,Bipasha Basu,John Abraham,Gulshan Grover
Jism Aur Kamasutra,2003,95 min,Thriller,1.6,,Reena Kapoor,Yunus Parvez,,
Joggers' Park,2003,133 min,"Comedy, Romance",6.2,353,Anant Balani,Victor Banerjee,Perizaad Zorabian,Divya Dutta
Jung Ke Sholay,2003,108 min,Action,5.8,,Kanti Shah,Ishrat Ali,Satnam Kaur,Sapna Sappu
Jungle Ki Nagin,2003,93 min,Horror,6.4,,Ramesh U. Lakhiani,Amit Pachori,Reena Kapoor,Tina Joshi
Kaash... Hamara Dil Pagal Na Hota,2003,149 min,Comedy,3.6,7,Mangal Anand,Sunil Singh,Chetan Aneja,Mithun Purandare
Kagaar: Life on the Edge,2003,150 min,"Crime, Drama",5.7,50,N. Chandra,Om Puri,Nandita Das,Amitabh Dayal
Kal Ho Naa Ho,2003,186 min,"Comedy, Drama, Musical",7.9,"64,972",Nikkhil Advani,Preity Zinta,Shah Rukh Khan,Saif Ali Khan
Khel,2003,174 min,"Action, Crime, Drama",4,467,Yusuf Khan,Sunny Deol,Sunil Shetty,Ajay Jadeja
Khushi,2003,161 min,"Action, Comedy, Drama",4.4,"1,565",S.J. Suryah,Sunil Kumar Agrawal,Fardeen Khan,Kareena Kapoor
Khwahish,2003,152 min,"Drama, Romance, Musical",4.1,197,Govind Menon,Himanshu Malik,Mallika Sherawat,Shivaji Satam
"Knock Knock, I'm Looking to Marry",2003,100 min,Comedy,5.5,32,Anita Udeep,Suhaas Ahuja,Radhi,
Koi Hai,2003,102 min,"Drama, Horror",2.4,9,Rajiv S. Ruia,Aman Verma,Shweta Menon,Rinku Ghosh
Koi... Mil Gaya,2003,171 min,"Action, Drama, Romance",7.1,"21,982",Rakesh Roshan,Hrithik Roshan,Rekha,Preity Zinta
Kucch To Hai,2003,143 min,"Horror, Mystery",4.2,851,Anurag Basu,Anil v Kumar,Tusshar Kapoor,Esha Deol
Kuch Naa Kaho,2003,169 min,"Comedy, Drama, Romance",5.4,"2,224",Rohan Sippy,Aishwarya Rai Bachchan,Abhishek Bachchan,Satish Shah
LOC: Kargil,2003,255 min,"Drama, History, War",5.2,"2,601",J.P. Dutta,Sanjay Dutt,Ajay Devgn,Saif Ali Khan
